$a	0	4*2	37,48,37,26
%0	4*8
	#l	0	500
	#l	3.9	600
$a	32	0.25*2	6,5,4,3,*12,7,6,5,4,*12,8,7,6,5,*12,9,8,7,6,*12
$b	48	4	1,2,3,4
%32	4*8
	#l	2	450
	#l	4	550
$a	64	0.25	8,7,6,4,*4,8,7,6,4,*4,9,8,7,4,*4,9,8,7,4,*4,8,7,6,3,*4,8,7,6,3,*4,7,6,5,3,*4,7,6,5,3
$b	64	2	2*4,1*4
%64	2*8
	#l	1	450
	#l	2	550
#l	84	100
#d	84
$a	84	0.25*4	8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,9,8,7,6,9,8,7,6,9,8,7,6,9,8,7,6,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,7,6,5,4,7,6,5,4,7,6,5,4,7,6,5,4
$b	84	1*4	3*4,4*4,3*4,2*4
#f	116
#f	148
#l	146	100
#l	148	500
#d	148
$a	148	0.25	2,3,7,8,2,3,7,8,2,3,7,8,2,3,7,8,3,4,8,9,3,4,8,9,3,4,8,9,3,4,8,9,2,3,7,8,2,3,7,8,2,3,7,8,2,3,7,8,1,2,6,7,1,2,6,7,1,2,6,7,1,2,6,7
$a	164	0.25	2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,3,5,7,9,3,5,7,9,3,5,7,9,3,5,7,9,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,1,3,5,7,1,3,5,7,1,3,5,7,1,3,5,7
%148	2*16
	#l	1	450
	#l	2	550
$a	180	0.25*2	5,6,7,8,5,6,7,8,5,6,7,8,5,6,7,8,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,5,6,7,8,5,6,7,8,5,6,7,8,5,6,7,8,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7
$b	180	1*2	24*4,35*4,24*4,13*4
#f	196
#f	212
%180	2*16
	#l	1	400
	#l	2	600
$a	212	0.25	37*16,48*16,37*16,26*16
#l	228	300
