#s	0	200
$a	0	4*2	3,4,3,2
%0	4*8
	#l	0	500
	#l	3.9	600
$b	32	4*2	37,48,37,26
%32	4*8
	#l	2	450
	#l	4	550
$b	64	2	37*2,48*2,37*2,26*2
%64	2*8
	#l	1	450
	#l	2	550
#l	84	100
#d	84
$b	84	1*2	37,3,37,7,48,4,48,8,37,3,37,7,26,2,26,6
#l	114	100
#l	116	300
#s	116	300
$b	116	0.5*2	37,3,37,7,37,3,37,7,48,4,48,8,48,4,48,8,37,3,37,7,37,3,37,7,26,2,26,6,26,2,26,6
%116	2*16
	#d	0
#l	146	300
#l	148	500
#d	148
$b	148	0.5*2	37,2,37,8,37,2,37,8,48,3,48,9,48,3,48,9,37,2,37,8,37,2,37,8,26,1,26,7,26,1,26,7
%148	2*16
	#l	1	450
	#l	2	550
$b	180	0.5*2	37,26,37,48,37,26,37,48,48,37,48,59,48,37,48,59,37,26,37,48,37,26,37,48,26,15,26,37,26,15,26,37
%180	2*16
	#l	1	400
	#l	2	600
$b	212	0.5	37*8,48*8,37*8,26*8
#l	228	300
